Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
,0:10:12,156,,,,,,,,
,0:10:13,156,,,,,,,,
,0:10:14,156,,,,,,,,
,0:10:15,157,,,,,,,,
,0:10:16,157,,,,,,,,
,0:10:17,159,,,,,,,,
,0:10:18,160,,,,,,,,
,0:10:19,160,,,,,,,,
,0:10:20,161,,,,,,,,
,0:10:21,162,,,,,,,,
,0:10:22,162,,,,,,,,
,0:10:23,162,,,,,,,,
,0:10:24,162,,,,,,,,
,0:10:25,162,,,,,,,,
,0:10:26,162,,,,,,,,
,0:10:27,162,,,,,,,,
,0:10:28,162,,,,,,,,
,0:10:29,162,,,,,,,,
,0:10:30,162,,,,,,,,
,0:10:31,162,,,,,,,,
,0:10:32,162,,,,,,,,
,0:10:33,162,,,,,,,,
,0:10:34,162,,,,,,,,
,0:10:35,162,,,,,,,,
,0:10:36,162,,,,,,,,
,0:10:37,162,,,,,,,,
,0:10:38,162,,,,,,,,
,0:10:39,162,,,,,,,,
,0:10:40,162,,,,,,,,
,0:10:41,162,,,,,,,,
,0:10:42,163,,,,,,,,
,0:10:43,162,,,,,,,,
,0:10:44,163,,,,,,,,
,0:10:45,161,,,,,,,,
,0:10:46,159,,,,,,,,
,0:10:47,159,,,,,,,,
,0:10:48,158,,,,,,,,
,0:10:49,158,,,,,,,,
,0:10:50,158,,,,,,,,
,0:10:51,158,,,,,,,,
,0:10:52,157,,,,,,,,
,0:10:53,156,,,,,,,,
,0:10:54,156,,,,,,,,
,0:10:55,151,,,,,,,,
,0:10:56,147,,,,,,,,
,0:10:57,147,,,,,,,,
,0:10:58,146,,,,,,,,
,0:10:59,146,,,,,,,,
,0:11:00,146,,,,,,,,
,0:11:01,146,,,,,,,,
,0:11:02,146,,,,,,,,
,0:11:03,146,,,,,,,,
,0:11:04,145,,,,,,,,
,0:11:05,144,,,,,,,,
,0:11:06,144,,,,,,,,
,0:11:07,143,,,,,,,,
,0:11:08,142,,,,,,,,
,0:11:09,139,,,,,,,,
,0:11:10,138,,,,,,,,
,0:11:11,138,,,,,,,,
,0:11:12,137,,,,,,,,
,0:11:13,136,,,,,,,,
,0:11:14,135,,,,,,,,
,0:11:15,136,,,,,,,,
,0:11:16,137,,,,,,,,
,0:11:17,138,,,,,,,,
,0:11:18,138,,,,,,,,
,0:11:19,137,,,,,,,,
,0:11:20,133,,,,,,,,
,0:11:21,131,,,,,,,,
,0:11:22,130,,,,,,,,
,0:11:23,130,,,,,,,,
,0:11:24,130,,,,,,,,
,0:11:25,130,,,,,,,,
,0:11:26,129,,,,,,,,
,0:11:27,129,,,,,,,,
,0:11:28,129,,,,,,,,
,0:11:29,130,,,,,,,,
,0:11:30,131,,,,,,,,
,0:11:31,131,,,,,,,,
,0:11:32,134,,,,,,,,
,0:11:33,134,,,,,,,,
,0:11:34,134,,,,,,,,
,0:11:35,134,,,,,,,,
,0:11:36,133,,,,,,,,
,0:11:37,133,,,,,,,,
,0:11:38,131,,,,,,,,
,0:11:39,129,,,,,,,,
,0:11:40,129,,,,,,,,
,0:11:41,128,,,,,,,,
,0:11:42,129,,,,,,,,
,0:11:43,132,,,,,,,,
,0:11:44,133,,,,,,,,
,0:11:45,134,,,,,,,,
,0:11:46,135,,,,,,,,
,0:11:47,135,,,,,,,,
,0:11:48,134,,,,,,,,
,0:11:49,133,,,,,,,,
,0:11:50,133,,,,,,,,
,0:11:51,133,,,,,,,,
,0:11:52,133,,,,,,,,
,0:11:53,134,,,,,,,,
,0:11:54,135,,,,,,,,
,0:11:55,137,,,,,,,,
,0:11:56,137,,,,,,,,
,0:11:57,137,,,,,,,,
,0:11:58,138,,,,,,,,
,0:11:59,138,,,,,,,,
,0:12:00,139,,,,,,,,
,0:12:01,140,,,,,,,,
,0:12:02,141,,,,,,,,
,0:12:03,141,,,,,,,,
,0:12:04,143,,,,,,,,
,0:12:05,143,,,,,,,,
,0:12:06,145,,,,,,,,
,0:12:07,145,,,,,,,,
,0:12:08,145,,,,,,,,
,0:12:09,145,,,,,,,,
,0:12:10,144,,,,,,,,
,0:12:11,144,,,,,,,,
,0:12:12,144,,,,,,,,
,0:12:13,144,,,,,,,,
,0:12:14,144,,,,,,,,
,0:12:15,145,,,,,,,,
,0:12:16,146,,,,,,,,
,0:12:17,146,,,,,,,,
,0:12:18,146,,,,,,,,
,0:12:19,148,,,,,,,,
,0:12:20,149,,,,,,,,
,0:12:21,150,,,,,,,,
,0:12:22,150,,,,,,,,
,0:12:23,150,,,,,,,,
,0:12:24,151,,,,,,,,
,0:12:25,153,,,,,,,,
,0:12:26,155,,,,,,,,
,0:12:27,155,,,,,,,,
,0:12:28,156,,,,,,,,
,0:12:29,156,,,,,,,,
,0:12:30,156,,,,,,,,
,0:12:31,157,,,,,,,,
,0:12:32,157,,,,,,,,
,0:12:33,158,,,,,,,,
,0:12:34,158,,,,,,,,
,0:12:35,158,,,,,,,,
,0:12:36,158,,,,,,,,
,0:12:37,158,,,,,,,,
,0:12:38,157,,,,,,,,
,0:12:39,157,,,,,,,,
,0:12:40,157,,,,,,,,
,0:12:41,157,,,,,,,,
,0:12:42,157,,,,,,,,
,0:12:43,157,,,,,,,,
